City,Elev(m),Lat,C0,r0_mean,r0_std,r0_p10,r0_p50,r0_p90,si_mean,si_std,si_p50,th0_mean
Sa Pa,1570.0,22.34,3.536768100069348e-15,16.189109998374633,1.1129253171012135,14.914744390280331,16.241573914626905,17.439316262386875,0.2701047679720978,0.03323323978577532,0.26485852143586863,1.054524480290083
Ha Noi,10.0,21.02,1.683084717373586e-14,5.291591422395737,0.05217355236038784,5.23743939641527,5.2951581021618,5.348522929810211,0.3388071879219683,0.02692961720456078,0.33592805824050964,1.0497031392013283
Nha Trang,5.0,12.24,1.69152121462756e-14,5.176020392949922,0.027056755084318342,5.143235633996186,5.175557516762194,5.2109736293742746,0.3311401348414972,0.014782088093249593,0.3312684100801344,1.062760416719352
Da Lat,1500.0,11.94,3.793212722523307e-15,16.41399249522776,0.5625599916878952,15.768339983049078,16.364655199614774,17.15783994735053,0.2581400767172733,0.01418747332490374,0.2587219075206143,1.072381730855857
TP.HCM,10.0,10.82,1.683084717373586e-14,5.308089051983477,0.026648460368370906,5.276321892095469,5.307467002115512,5.343190608908786,0.32965574377845713,0.0136814600836075,0.330146870216974,1.062483294583322
Can Tho,2.0,10.03,1.6966033977344663e-14,5.097693840276681,0.022935596310450838,5.070559008368472,5.096079755078366,5.127840754224175,0.3316668370849391,0.013142506243991593,0.3325172357779611,1.0642862009336433
